term,estimate,std.error,statistic,p.value,conf.low,conf.high,year,variable
race5Black,0.7923018480610596,0.04287353643833508,-5.430222412877453,5.628386230169093e-8,0.7284436770641265,0.8617580716342862,2012,race5
race5Hispanic,0.7156800540274638,0.04387179343179242,-7.624991768950438,2.440499579351002e-14,0.6567112998371788,0.7799438503033905,2012,race5
race5Other,0.6818552863781994,0.046597719787522925,-8.217952197266063,2.070074431287118e-16,0.6223395937951448,0.7470625944376856,2012,race5
race5White,0.9142261122376684,0.0420971364842341,-2.130248231688303,0.033151125009278165,0.8418211164658803,0.992858658388237,2012,race5
educ20032,0.8673859343605897,0.0143982458009067,-9.881152575281819,5.025155505017918e-23,0.8432499828781719,0.8922127179400015,2012,educ2003
educ20033,0.890198655805795,0.011140983926941211,-10.439888716785898,1.6300167624388195e-25,0.8709706837134724,0.9098511139545333,2012,educ2003
educ20034,0.8367193390314864,0.014156858116858023,-12.592241937920388,2.329613722842263e-36,0.8138216628445322,0.8602612639509334,2012,educ2003
educ20035,0.8587443763898159,0.01788486167846517,-8.514686152161058,1.6704208718649277e-17,0.8291631722844133,0.8893809187755171,2012,educ2003
educ20036,0.830050314416344,0.014887594506297858,-12.511689525885014,6.443888257801605e-36,0.8061796701631211,0.85462775850359,2012,educ2003
educ20037,0.8112458751635525,0.020579221493373923,-10.164820646314231,2.846454155413299e-24,0.7791751883340211,0.8446365847159801,2012,educ2003
educ20038,0.8080168240073358,0.029574204702280244,-7.208051781359278,5.675804834394047e-13,0.7625113845131163,0.8562379541333538,2012,educ2003
educ20039,1.0670527553500149,0.0250032431574097,2.595679823556493,0.009440398931471144,1.0160210395888734,1.120647642455108,2012,educ2003
race5Black,0.8325802924053318,0.04305171982248437,-4.255941811385179,2.081708468416227e-5,0.7652084601893474,0.9058837942411418,2013,race5
race5Hispanic,0.7396619862115379,0.04400608448148678,-6.852733572655356,7.245195046898452e-12,0.6785386088314002,0.8062914132308983,2013,race5
race5Other,0.7164733427896509,0.04658328646760079,-7.157379018280551,8.223410670112671e-13,0.6539545151510537,0.7849690445360777,2013,race5
race5White,0.9547690361357952,0.04228625872368182,-1.0945828769525665,0.27369942059697017,0.8788272930025045,1.0372731020326627,2013,race5
educ20032,0.8670567267423348,0.014470732720425093,-9.857888907868716,6.336766901829989e-23,0.8428101855917118,0.8920008090093554,2013,educ2003
