draw,err,p_garb,p_light,p_over,p_acc,prop_garbage,prop_light,pct_overd_miss,pct_acc_miss
84,0,0.08081829948588422,0.16330987924441112,0.22791436151745434,0.2277414639876747,0.37115839243498816,0.35933806146572106,0.01182033096926714,0.06619385342789598
85,0,0.12233195953188643,0.45252989875763167,0.048023210649571345,0.12621057644761166,0.3947990543735225,0.5839243498817966,0.002364066193853428,0.06619385342789598
86,0,0.05070278270779616,0.18144720064965492,0.10306425305022036,0.006200879740012575,0.375886524822695,0.34515366430260047,0,0.06619385342789598
87,0,0.011611107600645718,0.4331417801076291,0.308261109171042,0.176143058724179,0.3262411347517731,0.5602836879432624,0.01182033096926714,0.06619385342789598
88,0,0.18209247278869956,0.23395000832658303,0.11777524503349585,0.27360043891446933,0.4444444444444444,0.3971631205673759,0.002364066193853428,0.06619385342789598
89,0,0.018366571008285225,0.20970297269947324,0.032058763100817504,0.23173915832344094,0.32387706855791965,0.34988179669030733,0.002364066193853428,0.06619385342789598
90,0,0.09807512531979617,0.3582993455990832,0.33821847707718694,0.10594885443275837,0.38534278959810875,0.4940898345153664,0.01182033096926714,0.06619385342789598
91,0,0.13476514677311077,0.07568673515758499,0.27282859188233205,0.1231529830991804,0.40189125295508277,0.28368794326241137,0.004728132387706856,0.06619385342789598
92,0,0.1542084451008953,0.4406076359204921,0.12255508841282187,0.061703239109896536,0.4066193853427896,0.624113475177305,0.004728132387706856,0.06619385342789598
93,0,0.062338905261478464,0.08844053754481297,0.16562965029174634,0.2171918828915599,0.3475177304964539,0.2907801418439716,0.002364066193853428,0.06619385342789598
94,0,0.15136045461589812,0.45926353394212555,0.0791751724827187,0.1352274543902163,0.4326241134751773,0.5791962174940898,0.002364066193853428,0.06619385342789598
95,0,0.15539779428456477,0.45883346731713076,0.3029737918215219,0.27138264254843575,0.3900709219858156,0.5933806146572104,0.018912529550827423,0.06619385342789598
96,0,0.19064839567403924,0.4500322292108796,0.2929353211379021,0.3653702490956085,0.44208037825059104,0.5957446808510638,0.002364066193853428,0.06619385342789598
97,0,0.05525941175733639,0.4301563312701222,0.01764665648120096,0.017914473853588703,0.34988179669030733,0.5366430260047281,0.002364066193853428,0.06619385342789598
98,0,0.02176128610185057,0.03245525405525529,0.008616181600877498,0.2882796143093519,0.3333333333333333,0.2553191489361702,0,0.06619385342789598
99,0,0.0880058089516145,0.04214763088773639,0.024735049424900277,0.10813792117235428,0.3664302600472813,0.28132387706855794,0,0.06619385342789598
100,0,0.14709758567537598,0.12171713270180944,0.2727146294723831,0.2939018627469399,0.40189125295508277,0.3144208037825059,0.0070921985815602835,0.06619385342789598
