period,cluster,sum_garb_k,sum_n_cert,sum_N_garbage,num_RI_weighted,prop_garbage,RI_cluster,w,num,den,philips_cstd,z_philips_cstd,z_RI_cluster,z_prop_garbage,direction_score
1999_2005,05CS025,1291,4156,382,452.7408185551857,0.3106352261790183,1.1851853888879207,NA,49.25529699499657,1,49.25529699499657,-1.742811870402235,-0.24191184696405635,-0.6557059318794493,-0.880143216415247
1999_2005,05CS026,12520,38975,4357,4134.108489897127,0.3212315586914689,0.9488428941696412,NA,51.09083029878246,1,51.09083029878246,-0.8198790892433888,-0.7525762359315419,-0.8884131149382279,-0.8202894800377196
1999_2005,05CS027,1635,5149,550,546.9285353668324,0.3175373859001748,0.9944155188487862,NA,49.37826995122927,1,49.37826995122927,-1.6809792835082351,-0.6541076276384764,-0.8072849941488559,-1.0474573017651891
1999_2005,05CS028,2288,7954,742,826.1412442144793,0.28765401056072415,1.1133979032540153,NA,51.181267378482566,1,51.181267378482566,-0.7744060132085655,-0.39702281222000135,-0.15101301633382094,-0.4408139472541293
1999_2005,05CS031,2682,8369,1134,834.1591795504067,0.3204683952682519,0.7355901054236391,NA,49.854506264899015,1,49.854506264899015,-1.4415207541764647,-1.2133507792078115,-0.8716532019946073,-1.1755082451262944
1999_2005,05CS032,2920,9132,888,946.8701973398366,0.31975470871660094,1.066295267274591,NA,50.116103449715695,1,50.116103449715695,-1.3099858935295856,-0.49879731049574577,-0.8559798558791961,-0.8882543533015091
1999_2005,06CS001,17337,67545,3413,7800.283430916111,0.25667332889184985,2.2854624760961357,NA,52.1412921692499,1,52.1412921692499,-0.29169161718162684,2.1354529477329796,0.5293570222557995,0.7910394509357174
1999_2005,06CS003,5036,17992,1387,2164.5999331341386,0.2799021787461094,1.560634414660518,NA,51.524956140127934,1,51.524956140127934,-0.6015943164748951,0.5693195296156892,0.01922578496887887,-0.004349667296775686
1999_2005,06CS005,12341,47700,2519,5622.868257494894,0.25872117400419287,2.232182714368755,NA,52.21039941465845,1,52.21039941465845,-0.256943491352701,2.0203315557916866,0.4843840783741225,0.7492573809377028
1999_2005,06CS007,2077,8475,496,939.7680351743717,0.24507374631268436,1.8946936193031687,NA,50.92669522226111,1,50.92669522226111,-0.902408587535313,1.2911200666758968,0.7840966865201681,0.3909360552202507
