county_ihme,cluster,period
37131,1999-2004_C1,1999-2004
05135,1999-2004_C1,1999-2004
48021,1999-2004_C1,1999-2004
12111,1999-2004_C1,1999-2004
36011,1999-2004_C1,1999-2004
42111,1999-2004_C1,1999-2004
47051,1999-2004_C1,1999-2004
17143,1999-2004_C1,1999-2004
05131,1999-2004_C1,1999-2004
48187,1999-2004_C1,1999-2004
05121,1999-2004_C1,1999-2004
19029,1999-2004_C1,1999-2004
37125,1999-2004_C1,1999-2004
12069,1999-2004_C1,1999-2004
30001,1999-2004_C1,1999-2004
34031,1999-2004_C1,1999-2004
48347,1999-2004_C1,1999-2004
40111,1999-2004_C1,1999-2004
15001,1999-2004_C3,1999-2004
16001,1999-2004_C1,1999-2004
19113,1999-2004_C1,1999-2004
29115,1999-2004_C1,1999-2004
10003,1999-2004_C1,1999-2004
35039,1999-2004_C1,1999-2004
19195,1999-2004_C1,1999-2004
31145,1999-2004_C1,1999-2004
48445,1999-2004_C1,1999-2004
29003,1999-2004_C1,1999-2004
18067,1999-2004_C1,1999-2004
05143,1999-2004_C1,1999-2004
18043,1999-2004_C1,1999-2004
47163,1999-2004_C1,1999-2004
01115,1999-2004_C1,1999-2004
21081,1999-2004_C1,1999-2004
37063,1999-2004_C1,1999-2004
51195,1999-2004_C1,1999-2004
22019,1999-2004_C1,1999-2004
06093,1999-2004_C1,1999-2004
42009,1999-2004_C1,1999-2004
13103,1999-2004_C1,1999-2004
47099,1999-2004_C1,1999-2004
54051,1999-2004_C1,1999-2004
23011,1999-2004_C1,1999-2004
06103,1999-2004_C1,1999-2004
42039,1999-2004_C1,1999-2004
04005,1999-2004_C1,1999-2004
18051,1999-2004_C1,1999-2004
35009,1999-2004_C1,1999-2004
18003,1999-2004_C1,1999-2004
20057,1999-2004_C1,1999-2004
12047,1999-2004_C1,1999-2004
55115,1999-2004_C1,1999-2004
48193,1999-2004_C1,1999-2004
24015,1999-2004_C1,1999-2004
49011,1999-2004_C1,1999-2004
18103,1999-2004_C1,1999-2004
01035,1999-2004_C1,1999-2004
27043,1999-2004_C1,1999-2004
48303,1999-2004_C1,1999-2004
21015,1999-2004_C1,1999-2004
13195,1999-2004_C1,1999-2004
41067,1999-2004_C1,1999-2004
38097,1999-2004_C1,1999-2004
04003,1999-2004_C1,1999-2004
42025,1999-2004_C1,1999-2004
13087,1999-2004_C1,1999-2004
48401,1999-2004_C1,1999-2004
17117,1999-2004_C1,1999-2004
01095,1999-2004_C1,1999-2004
18111,1999-2004_C1,1999-2004
47155,1999-2004_C1,1999-2004
28067,1999-2004_C1,1999-2004
46093,1999-2004_C1,1999-2004
18181,1999-2004_C1,1999-2004
48293,1999-2004_C1,1999-2004
20175,1999-2004_C1,1999-2004
29163,1999-2004_C1,1999-2004
41039,1999-2004_C1,1999-2004
34035,1999-2004_C1,1999-2004
13133,1999-2004_C1,1999-2004
50007,1999-2004_C1,1999-2004
26005,1999-2004_C1,1999-2004
39105,1999-2004_C1,1999-2004
21047,1999-2004_C1,1999-2004
54033,1999-2004_C1,1999-2004
37007,1999-2004_C1,1999-2004
04012,1999-2004_C1,1999-2004
49057,1999-2004_C1,1999-2004
51087,1999-2004_C1,1999-2004
