cluster,period,z_overd,z_RI,z_garb,z_phil,has_dq,has_ph,ready,reason
C1170,2006_2012,NA,NA,NA,-0.48433685443838975,0,1,0,missing_dq
C1171,2006_2012,NA,NA,NA,0.07984502065010768,0,1,0,missing_dq
C1172,2006_2012,NA,NA,NA,0.10254148694173353,0,1,0,missing_dq
C1173,2006_2012,NA,NA,NA,-0.11453347438307415,0,1,0,missing_dq
C1174,2006_2012,NA,NA,NA,-0.0823296451004423,0,1,0,missing_dq
C1175,2006_2012,NA,NA,NA,-1.4823915397765663,0,1,0,missing_dq
C1176,2006_2012,NA,NA,NA,0.13513514458243892,0,1,0,missing_dq
C1177,2006_2012,NA,NA,NA,-0.3879376801616256,0,1,0,missing_dq
C1178,2006_2012,NA,NA,NA,-0.48390682921799194,0,1,0,missing_dq
C1179,2006_2012,NA,NA,NA,-1.4944178832348813,0,1,0,missing_dq
C118,2006_2012,NA,NA,NA,2.162882240070034,0,1,0,missing_dq
C1180,2006_2012,NA,NA,NA,-0.6408967162082625,0,1,0,missing_dq
C1181,2006_2012,NA,NA,NA,-0.46549627427456447,0,1,0,missing_dq
C1182,2006_2012,NA,NA,NA,-0.5204105867893198,0,1,0,missing_dq
C1183,2006_2012,NA,NA,NA,0.9292204757615248,0,1,0,missing_dq
C1184,2006_2012,NA,NA,NA,0.2360293935441864,0,1,0,missing_dq
C1186,2006_2012,NA,NA,NA,-0.6933375379486516,0,1,0,missing_dq
C1187,2006_2012,NA,NA,NA,-0.5044740982332154,0,1,0,missing_dq
C1188,2006_2012,NA,NA,NA,-1.3873217046119317,0,1,0,missing_dq
C119,2006_2012,NA,NA,NA,0.686480034793682,0,1,0,missing_dq
C1190,2006_2012,NA,NA,NA,0.01007514471106634,0,1,0,missing_dq
C1191,2006_2012,NA,NA,NA,0.8623185718705394,0,1,0,missing_dq
C1192,2006_2012,NA,NA,NA,-0.05749793821014035,0,1,0,missing_dq
C1193,2006_2012,NA,NA,NA,-1.0791403038409688,0,1,0,missing_dq
C1194,2006_2012,NA,NA,NA,-0.641851616838724,0,1,0,missing_dq
C1195,2006_2012,NA,NA,NA,-0.16238764575816808,0,1,0,missing_dq
C1196,2006_2012,NA,NA,NA,-0.5298100290032933,0,1,0,missing_dq
