variable,level,autopsy_flag,deaths,prop,description
cause113,87,No,645,0.9161931818181818,NA
cause113,87,Unknown,30,0.04261363636363636,NA
cause113,87,Yes,29,0.041193181818181816,NA
cause113,88,No,18543,0.939980737060881,NA
cause113,88,Unknown,1009,0.05114817255538095,NA
cause113,88,Yes,175,0.008871090383738024,NA
cause113,89,No,36040,0.9174218511353223,NA
cause113,89,Unknown,2099,0.053431422462071075,NA
cause113,89,Yes,1145,0.029146726402606658,NA
cause113,90,No,2574,0.8006220839813375,NA
cause113,90,Unknown,120,0.03732503888024884,NA
cause113,90,Yes,521,0.16205287713841368,NA
cause113,91,No,326,0.7970660146699267,NA
cause113,91,Unknown,16,0.039119804400977995,NA
cause113,91,Yes,67,0.16381418092909536,NA
cause113,92,No,1858,0.8843407900999524,NA
cause113,92,Unknown,81,0.038553069966682535,NA
cause113,92,Yes,162,0.07710613993336507,NA
cause113,94,No,19567,0.8943687722826584,NA
cause113,94,Unknown,735,0.03359539263186763,NA
cause113,94,Yes,1576,0.072035835085474,NA
cause113,95,No,17177,0.9147893699739043,NA
cause113,95,Unknown,902,0.04803749267721148,NA
cause113,95,Yes,698,0.03717313734888427,NA
cause113,96,No,3496,0.9183083793012871,NA
cause113,96,Unknown,163,0.04281586551090097,NA
cause113,96,Yes,148,0.038875755187811924,NA
cause113,98,No,530,0.9347442680776014,NA
cause113,98,Unknown,29,0.05114638447971781,NA
cause113,98,Yes,8,0.014109347442680775,NA
cause113,99,No,260,0.931899641577061,NA
cause113,99,Unknown,7,0.025089605734767026,NA
cause113,99,Yes,12,0.043010752688172046,NA
cause113,100,No,46170,0.9379761493610711,Renal failure
cause113,100,Unknown,2647,0.05377567397354895,Renal failure
cause113,100,Yes,406,0.008248176665380006,Renal failure
cause113,101,No,19,0.9047619047619048,Other disorders of kidney
cause113,101,Unknown,1,0.047619047619047616,Other disorders of kidney
cause113,101,Yes,1,0.047619047619047616,Other disorders of kidney
cause113,102,No,663,0.8236024844720496,Infections of kidney
cause113,102,Unknown,28,0.034782608695652174,Infections of kidney
cause113,102,Yes,114,0.14161490683229813,Infections of kidney
cause113,103,No,594,0.9252336448598131,Hyperplasia of prostate
cause113,103,Unknown,20,0.03115264797507788,Hyperplasia of prostate
cause113,103,Yes,28,0.04361370716510903,Hyperplasia of prostate
cause113,104,No,123,0.8541666666666666,Inflammatory diseases of female pelvic organs
cause113,104,Unknown,12,0.08333333333333333,Inflammatory diseases of female pelvic organs
cause113,104,Yes,9,0.0625,Inflammatory diseases of female pelvic organs
cause113,106,No,7,0.3181818181818182,Pregnancy with abortive outcome
cause113,106,Unknown,1,0.045454545454545456,Pregnancy with abortive outcome
cause113,106,Yes,14,0.6363636363636364,Pregnancy with abortive outcome
cause113,107,No,731,0.6001642036124795,"Other complications of pregnancy, childbirth & puerperium"
cause113,107,Unknown,36,0.029556650246305417,"Other complications of pregnancy, childbirth & puerperium"
cause113,107,Yes,451,0.3702791461412151,"Other complications of pregnancy, childbirth & puerperium"
cause113,108,No,9555,0.8283485045513654,Certain conditions originating in the perinatal period
cause113,108,Unknown,615,0.053315994798439535,Certain conditions originating in the perinatal period
cause113,108,Yes,1365,0.11833550065019506,Certain conditions originating in the perinatal period
cause113,109,No,8159,0.803604845858367,"Congenital malformations, deformations & chromosomal abnormalities"
cause113,109,Unknown,404,0.03979119472077219,"Congenital malformations, deformations & chromosomal abnormalities"
cause113,109,Yes,1590,0.15660395942086083,"Congenital malformations, deformations & chromosomal abnormalities"
cause113,110,No,23675,0.7013775736927863,"Symptoms, signs & abnormal clinical/lab findings, NEC"
cause113,110,Unknown,1557,0.04612649977781069,"Symptoms, signs & abnormal clinical/lab findings, NEC"
cause113,110,Yes,8523,0.25249592652940306,"Symptoms, signs & abnormal clinical/lab findings, NEC"
cause113,111,No,295944,0.9166808634537531,All other diseases (Residual)
cause113,111,Unknown,14598,0.045217024993572726,All other diseases (Residual)
cause113,111,Yes,12301,0.03810211155267421,All other diseases (Residual)
cause113,114,No,20337,0.5002828958697203,Motor vehicle accidents
cause113,114,Unknown,378,0.009298664239502104,Motor vehicle accidents
cause113,114,Yes,19936,0.4904184398907776,Motor vehicle accidents
cause113,115,No,498,0.48490749756572543,Other land transport accidents
cause113,115,Unknown,8,0.007789678675754625,Other land transport accidents
cause113,115,Yes,521,0.50730282375852,Other land transport accidents
cause113,116,No,874,0.5049104563835933,"Water, air & space, and other/unspecified transport accidents & sequelae"
cause113,116,Unknown,18,0.010398613518197574,"Water, air & space, and other/unspecified transport accidents & sequelae"
cause113,116,Yes,839,0.4846909300982091,"Water, air & space, and other/unspecified transport accidents & sequelae"
cause113,118,No,30368,0.8738741331184714,Falls
cause113,118,Unknown,517,0.01487726971885701,Falls
cause113,118,Yes,3866,0.11124859716267158,Falls
cause113,119,No,122,0.24646464646464647,Accidental discharge of firearms
cause113,119,Unknown,9,0.01818181818181818,Accidental discharge of firearms
cause113,119,Yes,364,0.7353535353535353,Accidental discharge of firearms
cause113,120,No,842,0.21645244215938303,Accidental drowning & submersion
cause113,120,Unknown,30,0.007712082262210797,Accidental drowning & submersion
cause113,120,Yes,3018,0.7758354755784062,Accidental drowning & submersion
cause113,121,No,993,0.3617486338797814,"Accidental exposure to smoke, fire & flames"
cause113,121,Unknown,24,0.008743169398907104,"Accidental exposure to smoke, fire & flames"
cause113,121,Yes,1728,0.6295081967213115,"Accidental exposure to smoke, fire & flames"
cause113,122,No,13450,0.2292991458819919,Accidental poisoning & exposure to noxious substances
cause113,122,Unknown,303,0.005165623881207699,Accidental poisoning & exposure to noxious substances
cause113,122,Yes,44904,0.7655352302368004,Accidental poisoning & exposure to noxious substances
cause113,123,No,12437,0.6732893027284539,Other & unspecified nontransport accidents & sequelae
cause113,123,Unknown,653,0.035350801212646166,Other & unspecified nontransport accidents & sequelae
cause113,123,Yes,5382,0.29135989605889995,Other & unspecified nontransport accidents & sequelae
cause113,125,No,10614,0.46236278097229483,Intentional self‑harm by discharge of firearms
cause113,125,Unknown,122,0.005314514723819481,Intentional self‑harm by discharge of firearms
cause113,125,Yes,12220,0.5323227043038857,Intentional self‑harm by discharge of firearms
cause113,126,No,9649,0.4362115732368897,Intentional self‑harm by other & unspecified means & sequelae
cause113,126,Unknown,172,0.007775768535262206,Intentional self‑harm by other & unspecified means & sequelae
cause113,126,Yes,12299,0.5560126582278481,Intentional self‑harm by other & unspecified means & sequelae
cause113,128,No,119,0.0082335847228949,Assault by discharge of firearms
cause113,128,Unknown,48,0.003321109804192901,Assault by discharge of firearms
cause113,128,Yes,14286,0.9884453054729122,Assault by discharge of firearms
cause113,129,No,131,0.026257767087592705,Assault by other & unspecified means & sequelae
cause113,129,Unknown,14,0.0028061735818801364,Assault by other & unspecified means & sequelae
cause113,129,Yes,4844,0.9709360593305272,Assault by other & unspecified means & sequelae
cause113,130,No,9,0.016304347826086956,Legal intervention
cause113,130,Unknown,1,0.0018115942028985507,Legal intervention
cause113,130,Yes,542,0.9818840579710145,Legal intervention
cause113,132,No,39,0.13,"Discharge of firearms, undetermined intent"
cause113,132,Unknown,3,0.01,"Discharge of firearms, undetermined intent"
cause113,132,Yes,258,0.86,"Discharge of firearms, undetermined intent"
cause113,133,No,917,0.16804104819497892,Other & unspecified events of undetermined intent & sequelae
cause113,133,Unknown,40,0.007330034817665384,Other & unspecified events of undetermined intent & sequelae
cause113,133,Yes,4500,0.8246289169873557,Other & unspecified events of undetermined intent & sequelae
cause113,134,No,15,0.7894736842105263,Operations of war & their sequelae
cause113,134,Yes,4,0.21052631578947367,Operations of war & their sequelae
cause113,135,No,2645,0.8237309249454998,Complications of medical & surgical care
cause113,135,Unknown,159,0.049517284335098104,Complications of medical & surgical care
cause113,135,Yes,407,0.12675179071940207,Complications of medical & surgical care
