period,cluster,issue,z_sum
1999_2005,C1431,geom_without_data,NA
1999_2005,C1434,geom_without_data,NA
1999_2005,C1435,geom_without_data,NA
1999_2005,C1436,geom_without_data,NA
1999_2005,C1439,geom_without_data,NA
1999_2005,C144,geom_without_data,NA
1999_2005,C1440,geom_without_data,NA
1999_2005,C1441,geom_without_data,NA
1999_2005,C1442,geom_without_data,NA
1999_2005,C1443,geom_without_data,NA
1999_2005,C1444,geom_without_data,NA
1999_2005,C1445,geom_without_data,NA
1999_2005,C1446,geom_without_data,NA
1999_2005,C1447,geom_without_data,NA
1999_2005,C1449,geom_without_data,NA
1999_2005,C145,geom_without_data,NA
1999_2005,C1451,geom_without_data,NA
1999_2005,C1454,geom_without_data,NA
1999_2005,C1455,geom_without_data,NA
1999_2005,C1456,geom_without_data,NA
1999_2005,C1457,geom_without_data,NA
1999_2005,C1458,geom_without_data,NA
1999_2005,C1459,geom_without_data,NA
1999_2005,C146,geom_without_data,NA
1999_2005,C1460,geom_without_data,NA
1999_2005,C1461,geom_without_data,NA
1999_2005,C1463,geom_without_data,NA
1999_2005,C1465,geom_without_data,NA
1999_2005,C1466,geom_without_data,NA
1999_2005,C1467,geom_without_data,NA
1999_2005,C147,geom_without_data,NA
1999_2005,C1470,geom_without_data,NA
1999_2005,C1472,geom_without_data,NA
1999_2005,C1473,geom_without_data,NA
1999_2005,C1474,geom_without_data,NA
1999_2005,C1475,geom_without_data,NA
1999_2005,C1477,geom_without_data,NA
1999_2005,C1479,geom_without_data,NA
1999_2005,C148,geom_without_data,NA
1999_2005,C1480,geom_without_data,NA
1999_2005,C1481,geom_without_data,NA
1999_2005,C1483,geom_without_data,NA
1999_2005,C1484,geom_without_data,NA
1999_2005,C1486,geom_without_data,NA
1999_2005,C1488,geom_without_data,NA
1999_2005,C1489,geom_without_data,NA
1999_2005,C149,geom_without_data,NA
1999_2005,C1490,geom_without_data,NA
1999_2005,C1493,geom_without_data,NA
1999_2005,C1495,geom_without_data,NA
1999_2005,C1496,geom_without_data,NA
1999_2005,C1499,geom_without_data,NA
1999_2005,C15,geom_without_data,NA
1999_2005,C150,geom_without_data,NA
1999_2005,C1501,geom_without_data,NA
1999_2005,C1502,geom_without_data,NA
1999_2005,C1504,geom_without_data,NA
1999_2005,C1505,geom_without_data,NA
1999_2005,C1506,geom_without_data,NA
1999_2005,C1507,geom_without_data,NA
1999_2005,C1508,geom_without_data,NA
1999_2005,C1509,geom_without_data,NA
1999_2005,C151,geom_without_data,NA
1999_2005,C1510,geom_without_data,NA
1999_2005,C1512,geom_without_data,NA
1999_2005,C1514,geom_without_data,NA
1999_2005,C1515,geom_without_data,NA
1999_2005,C1516,geom_without_data,NA
1999_2005,C1517,geom_without_data,NA
1999_2005,C1518,geom_without_data,NA
1999_2005,C1519,geom_without_data,NA
1999_2005,C152,geom_without_data,NA
1999_2005,C1520,geom_without_data,NA
1999_2005,C1521,geom_without_data,NA
1999_2005,C1522,geom_without_data,NA
1999_2005,C1523,geom_without_data,NA
1999_2005,C1524,geom_without_data,NA
1999_2005,C1526,geom_without_data,NA
1999_2005,C1527,geom_without_data,NA
1999_2005,C1528,geom_without_data,NA
1999_2005,C1529,geom_without_data,NA
1999_2005,C153,geom_without_data,NA
1999_2005,C1531,geom_without_data,NA
1999_2005,C1532,geom_without_data,NA
1999_2005,C1536,geom_without_data,NA
1999_2005,C1537,geom_without_data,NA
1999_2005,C1538,geom_without_data,NA
1999_2005,C1539,geom_without_data,NA
1999_2005,C154,geom_without_data,NA
1999_2005,C1540,geom_without_data,NA
1999_2005,C1542,geom_without_data,NA
1999_2005,C1544,geom_without_data,NA
1999_2005,C1545,geom_without_data,NA
1999_2005,C1546,geom_without_data,NA
1999_2005,C1547,geom_without_data,NA
1999_2005,C1549,geom_without_data,NA
1999_2005,C155,geom_without_data,NA
