period,cluster
1999_2005,C1510
1999_2005,C652
1999_2005,C371
1999_2005,C887
1999_2005,C93
1999_2005,C1408
1999_2005,C1466
1999_2005,C1323
1999_2005,C1216
1999_2005,C630
1999_2005,C787
1999_2005,C785
1999_2005,C877
1999_2005,C1384
1999_2005,C284
1999_2005,C1075
1999_2005,C1373
1999_2005,C1110
1999_2005,C1488
1999_2005,C337
1999_2005,C1077
1999_2005,C537
1999_2005,C1443
1999_2005,C706
1999_2005,C359
1999_2005,C1417
1999_2005,C280
1999_2005,C206
1999_2005,C120
1999_2005,C200
1999_2005,C322
1999_2005,C312
1999_2005,C1461
1999_2005,C874
1999_2005,C1325
1999_2005,C1308
1999_2005,C1034
1999_2005,C795
1999_2005,C677
1999_2005,C1230
1999_2005,C740
1999_2005,C1368
1999_2005,C1627
1999_2005,C1577
1999_2005,C683
1999_2005,C252
1999_2005,C272
1999_2005,C1229
1999_2005,C935
1999_2005,C12
1999_2005,C532
1999_2005,C259
1999_2005,C52
1999_2005,C1553
1999_2005,C367
1999_2005,C583
1999_2005,C460
1999_2005,C364
1999_2005,C621
1999_2005,C719
1999_2005,C1109
1999_2005,C859
1999_2005,C173
1999_2005,C376
1999_2005,C13
1999_2005,C226
1999_2005,C159
1999_2005,C1677
1999_2005,C534
1999_2005,C1085
1999_2005,C141
1999_2005,C794
1999_2005,C693
1999_2005,C160
1999_2005,C1549
1999_2005,C1396
1999_2005,C1527
1999_2005,C1171
1999_2005,C1421
1999_2005,C635
1999_2005,C1334
1999_2005,C848
1999_2005,C457
1999_2005,C69
1999_2005,C807
1999_2005,C413
1999_2005,C530
1999_2005,C77
1999_2005,C373
1999_2005,C843
1999_2005,C434
1999_2005,C1339
1999_2005,C544
1999_2005,C1475
1999_2005,C817
1999_2005,C496
1999_2005,C631
1999_2005,C1070
1999_2005,C806
1999_2005,C260
1999_2005,C1073
1999_2005,C405
1999_2005,C1293
1999_2005,C1017
1999_2005,C1687
1999_2005,C262
1999_2005,C426
1999_2005,C1681
1999_2005,C1212
1999_2005,C899
1999_2005,C1294
1999_2005,C1536
1999_2005,C1529
1999_2005,C1540
1999_2005,C1701
1999_2005,C1210
1999_2005,C1028
1999_2005,C1248
1999_2005,C1102
1999_2005,C1187
1999_2005,C1100
