period,cluster,fips,cluster_deaths
1999_2005,28CS003,01103,1006
1999_2005,08CS001,40001,223
1999_2005,29CS038,17075,372
1999_2005,51CS015,37083,626
1999_2005,42CS024,42085,1433
1999_2005,06CS041,06109,564
1999_2005,37CS005,37049,840
1999_2005,18CS046,21221,170
1999_2005,08CS001,49005,415
1999_2005,22CS009,22085,254
1999_2005,21CS021,47001,797
1999_2005,47CS029,47029,397
1999_2005,01CS031,01097,3855
1999_2005,29CS038,29113,317
1999_2005,42CS023,42049,2744
1999_2005,36CS036,36085,3560
1999_2005,13CS044,13221,109
1999_2005,39CS015,39065,276
1999_2005,28CS003,28099,323
1999_2005,47CS040,47109,339
1999_2005,19CS017,31059,103
1999_2005,21CS022,21209,207
1999_2005,21CS021,21127,162
1999_2005,10CS002,24035,347
1999_2005,37CS043,37089,1083
1999_2005,08CS001,40093,104
1999_2005,20CS023,20177,1625
1999_2005,45CS002,13189,259
1999_2005,29CS038,29183,1798
1999_2005,47CS040,01077,900
1999_2005,08CS001,56007,121
1999_2005,32CS001,32013,95
1999_2005,19CS030,19007,189
1999_2005,42CS024,39121,104
1999_2005,29CS038,20209,1513
1999_2005,05CS026,05145,699
1999_2005,55CS012,55105,1318
1999_2005,08CS001,27111,668
1999_2005,22CS008,48459,413
1999_2005,05CS026,05029,248
1999_2005,54CS006,54099,475
1999_2005,36CS014,36073,374
1999_2005,55CS012,19061,837
1999_2005,13CS041,13113,586
1999_2005,08CS001,40135,424
1999_2005,21CS021,47049,219
1999_2005,22CS017,22109,833
1999_2005,26CS042,26147,1456
1999_2005,28CS003,28095,364
1999_2005,55CS001,19005,156
1999_2005,08CS001,20125,484
1999_2005,39CS028,39135,361
1999_2005,13CS041,13153,808
1999_2005,27CS010,27113,155
1999_2005,05CS026,05071,222
1999_2005,39CS015,39175,227
1999_2005,21CS021,47151,230
1999_2005,22CS012,22083,255
1999_2005,18CS035,18091,1057
1999_2005,04CS002,04001,497
1999_2005,51CS015,51163,281
1999_2005,51CS015,51163,281
1999_2005,36CS028,36095,333
1999_2005,12CS013,13185,726
1999_2005,39CS028,39047,327
1999_2005,08CS001,48063,139
1999_2005,26CS028,26105,297
1999_2005,48CS011,48175,84
1999_2005,13CS020,13029,153
1999_2005,51CS015,54037,393
1999_2005,08CS001,40073,154
1999_2005,55CS024,26153,106
1999_2005,13CS044,13133,171
1999_2005,51CS015,51097,73
1999_2005,08CS001,48341,136
1999_2005,12CS013,13155,90
1999_2005,05CS010,05027,283
1999_2005,21CS021,47159,197
1999_2005,55CS012,55023,173
1999_2005,47CS016,47083,106
1999_2005,19CS030,29211,95
1999_2005,28CS003,12091,1267
1999_2005,08CS001,46103,699
1999_2005,17CS028,17083,211
1999_2005,08CS001,56019,83
1999_2005,40CS027,40147,520
1999_2005,42CS033,42113,116
1999_2005,20CS018,20137,76
1999_2005,40CS025,40017,663
1999_2005,36CS014,36121,362
1999_2005,08CS001,49057,1313
1999_2005,42CS020,42099,357
1999_2005,47CS016,47043,391
1999_2005,40CS027,40145,410
1999_2005,39CS028,18079,249
1999_2005,50CS001,50021,626
1999_2005,36CS023,36051,474
1999_2005,29CS038,29103,61
1999_2005,27CS010,27107,117
1999_2005,17CS003,17007,318
1999_2005,27CS017,27117,124
1999_2005,48CS011,48127,87
1999_2005,29CS038,17135,372
1999_2005,28CS003,28031,219
1999_2005,12CS013,13025,139
1999_2005,39CS022,39097,319
1999_2005,37CS043,45001,227
1999_2005,51CS015,51019,558
1999_2005,51CS015,51019,558
1999_2005,55CS024,26003,108
1999_2005,51CS012,51021,76
1999_2005,32CS001,06027,213
1999_2005,08CS001,46019,91
1999_2005,21CS021,21119,165
1999_2005,27CS010,27057,183
1999_2005,42CS024,54041,236
1999_2005,28CS003,28101,242
1999_2005,22CS027,28077,141
1999_2005,08CS001,46047,124
1999_2005,31CS016,31023,108
1999_2005,55CS024,55069,312
1999_2005,13CS020,13305,260
1999_2005,41CS016,41027,153
1999_2005,08CS001,49019,68
1999_2005,48CS036,48475,113
1999_2005,20CS018,20129,33
1999_2005,41CS016,41055,24
1999_2005,29CS023,29225,262
1999_2005,18CS039,18121,173
1999_2005,19CS017,31179,73
1999_2005,27CS017,27059,233
1999_2005,29CS038,19087,191
1999_2005,29CS038,17171,53
1999_2005,12CS016,13027,180
1999_2005,20CS018,20171,55
1999_2005,27CS017,55113,171
1999_2005,08CS001,40055,77
1999_2005,29CS038,29173,74
1999_2005,08CS001,46031,34
1999_2005,08CS001,30105,105
1999_2005,19CS017,46003,39
1999_2005,08CS001,08065,48
1999_2005,08CS001,46007,28
1999_2005,48CS064,48107,77
1999_2005,29CS038,05121,203
1999_2005,39CS028,21077,68
1999_2005,08CS001,16071,50
