period,cluster,detail_ucod_root3,detail_ucod_gbdl3,detail_mcod
1999_2006,C245,55.64826580265019,53.062307936931234,60.45113988711496
1999_2006,C246,55.775331976063384,60.54790786748192,60.92017892499806
1999_2006,C247,55.44949377266057,69.34264036172708,60.54150337500773
1999_2006,C248,56.08868433120472,57.80329231376878,60.7444086605062
1999_2006,C249,55.570647830462946,60.529903957779084,60.80700352571277
1999_2006,C25,55.77822551541982,52.496804154014605,62.0628582399749
1999_2006,C250,55.65021343554117,46.869910562535516,62.56299338056159
1999_2006,C251,55.826911366850936,57.80329231376878,60.41313631229959
1999_2006,C252,56.29805485666782,46.103575887406286,60.51725224210066
1999_2006,C253,56.23586578055285,49.51793200382815,61.16276364597645
1999_2006,C254,54.964758996097316,63.417595007158475,59.96855712157076
1999_2006,C255,54.32034462736117,55.07990697343526,60.980657790363956
1999_2006,C256,54.98356209837553,50.33886507515834,60.15196448698245
1999_2006,C257,55.35003101295552,50.11530511088312,60.49543134842892
1999_2006,C258,53.75645641762395,45.496408686309515,61.25904226037
1999_2006,C259,55.335016698113336,44.75034547403762,60.50011923212515
1999_2006,C26,55.130653193692375,61.44950613431593,62.42656168285445
1999_2006,C260,54.328777412635496,60.85638061798381,59.760400702572426
1999_2006,C261,55.976391976275366,58.54126274918629,60.4440383515551
1999_2006,C262,55.352235005459384,67.70794070695241,60.51003084141894
1999_2006,C263,55.618950822525875,45.7305304380534,61.812454248537485
1999_2006,C264,55.04923509610481,60.107065251271216,61.19789723463206
1999_2006,C265,55.63538277190595,63.6789773926501,61.98682077056241
1999_2006,C266,55.78246396647773,54.848611921185864,60.531054839890515
1999_2006,C267,55.18421398870742,34.20489541076586,60.71179105393183
1999_2006,C268,55.424389970735625,55.5012326521196,60.611386195521774
1999_2006,C269,55.730817777416206,53.815915880377105,61.16534086833699
1999_2006,C27,55.2822167971582,59.00134572039165,62.29729116610326
1999_2006,C270,55.5987676915417,62.62853170925473,61.51280676320178
1999_2006,C271,55.45007421697247,56.249361932485016,61.508810719785416
1999_2006,C272,55.94831774023299,62.71604436205917,61.65495827093948
1999_2006,C273,55.45945473189649,50.820107549918276,61.50352906796309
1999_2006,C274,55.92911088094499,52.04708391122788,61.987604424479066
1999_2006,C275,55.663182133742495,68.41422205802068,62.01432311741304
1999_2006,C276,56.115804182252894,63.88142403373851,62.59229090237029
1999_2006,C277,56.405002720377524,65.85034012854128,61.19009408465237
1999_2006,C278,56.825256284674076,61.111982551735316,61.037483885587775
1999_2006,C279,55.81936466794103,60.208965663328186,61.77407505297617
1999_2006,C28,55.353577420698635,56.09427491570882,62.26315206367343
1999_2006,C280,55.85607817393345,53.115566850618514,60.289105206591216
1999_2006,C281,55.11636557416753,56.053117175564196,62.18309660005475
1999_2006,C282,55.62097188610648,55.20547410802076,61.7109441066467
1999_2006,C283,55.803554860043775,59.32365560551739,61.272337378142545
1999_2006,C284,55.820586893037486,58.44156000799404,61.29084196956528
1999_2006,C285,55.973213713969514,64.34913196281218,62.76942771082067
1999_2006,C286,56.03005350166158,67.9621391251054,60.43844989415498
1999_2006,C287,55.92061629549736,56.63256021432397,61.67696457991115
1999_2006,C288,55.79489695246418,56.249361932485016,61.329328225294674
1999_2006,C289,54.802040231043854,55.316515058804576,61.26917186494379
1999_2006,C29,55.25467325271668,58.84872408843443,62.14067339095367
1999_2006,C290,55.736637044749976,52.95410947188101,61.16769035315725
1999_2006,C291,55.53165919062599,55.68943565118495,61.59868155148289
1999_2006,C292,54.543063847764095,56.66769819423383,60.90730945789646
1999_2006,C293,54.906602153504686,50.16012225210769,61.53976709918196
1999_2006,C294,56.21020022816649,52.62162458985828,61.198798639703774
1999_2006,C295,55.51266187386288,51.88071862773051,61.3468563443179
1999_2006,C296,54.91917608286887,50.64677078807022,60.634182644010664
1999_2006,C297,55.425969906095965,48.742291126284215,61.71762180457221
1999_2006,C298,55.80044249654611,42.12538055360979,61.29010239419858
1999_2006,C299,54.92549446585199,71.2726390678055,61.01986440529533
1999_2006,C3,55.40992898315647,57.89616801051318,62.1550560828237
1999_2006,C30,55.32682365208802,54.14379991858368,62.0592939738523
1999_2006,C300,54.82183903228458,57.16666846745133,62.055581590974285
1999_2006,C301,55.84458738868442,65.93689112381145,61.55163003149431
1999_2006,C302,55.88601424639838,57.40244612564893,60.32375054424105
1999_2006,C303,56.739717098152944,48.786749835301414,61.48922628559832
1999_2006,C304,55.79172302287165,48.3059171549166,61.24504779029429
1999_2006,C305,55.280466370085335,53.63139105256146,61.25395275480509
1999_2006,C306,56.34407203825464,50.18939283379992,61.529598159024104
1999_2006,C307,56.007057687618676,52.463593052363336,62.07843790184009
1999_2006,C308,56.04043059046304,43.38344394030639,61.85945210805132
1999_2006,C309,55.33578297917056,49.90868735547355,60.49936011188852
1999_2006,C31,55.63300462852752,58.129255773420994,62.494917382832305
1999_2006,C310,55.58471479191535,59.47488371679408,61.26424901106747
1999_2006,C311,55.579013073080574,29.563465864414724,60.11918066159497
1999_2006,C312,54.997199918727894,44.6514092317206,60.747971885944715
1999_2006,C313,54.832085387686156,55.793475768910774,61.789385003838845
1999_2006,C314,55.925158328500316,58.84192914375966,61.45953665160556
1999_2006,C315,55.73047699579105,74.17349457926434,61.34700905462546
1999_2006,C316,55.60742166139003,47.224240265204955,60.14009010814315
1999_2006,C317,54.750107443815665,54.93475328841482,61.101936300097464
1999_2006,C318,56.4226853460637,65.41409694579907,61.707425344402544
1999_2006,C319,55.59072650437123,50.53285391154579,61.958700110908666
1999_2006,C32,56.03633727392137,58.8378815437944,62.29671976009638
1999_2006,C320,56.04840416938954,58.67407376420861,60.70120248229916
1999_2006,C321,55.81644319624463,49.90868735547355,61.2884607622164
1999_2006,C322,55.08058305082765,64.63205969211127,61.131959452972545
1999_2006,C323,54.69500084464194,52.117701496900246,60.37573812021053
1999_2006,C324,55.452727112964396,38.41834991857612,61.27307260578019
1999_2006,C325,55.22049225994839,49.40891060686354,61.28885734092269
1999_2006,C326,55.774943273750836,57.80464567634582,62.274760961272115
1999_2006,C327,56.17085373742206,62.381005960957545,61.50879195185548
1999_2006,C328,56.37507243657633,54.29130722934489,61.930863646125964
1999_2006,C329,54.91893883061925,45.76812673406115,61.676011611020016
1999_2006,C33,55.486836998754306,54.67990320278863,62.14354542836501
1999_2006,C330,55.236868956982086,63.62654641955469,61.70671569970798
1999_2006,C332,55.443813380654525,57.75839578744331,60.759914725725906
1999_2006,C334,55.909787878997264,58.72841508509086,60.44003516973221
1999_2006,C335,55.50230689482797,27.927991012866062,60.584990103642554
1999_2006,C336,55.62845852870309,57.22965142565672,61.75372283463325
1999_2006,C337,54.9936810592063,56.48842901039559,60.76685852026782
1999_2006,C338,55.624704958401466,58.979256646945316,61.695273024135936
1999_2006,C339,56.31861615409779,63.1421352860941,61.93665528752143
1999_2006,C34,55.345603064672176,58.38275844564748,61.368540225983985
1999_2006,C340,55.409510034908664,42.39114705514015,60.335400831249636
1999_2006,C341,54.96408186063807,49.737976477691916,61.68272531621583
1999_2006,C342,55.988039101855264,52.011825921440646,60.817319024802856
1999_2006,C343,56.41903508579189,41.530660459235186,62.292945071325825
1999_2006,C344,56.29734493188934,58.544921878972254,60.78875863536606
1999_2006,C345,55.60286029871676,48.33652691332906,61.37635030953605
1999_2006,C346,55.31894955373028,64.9242313406444,61.03261491655155
1999_2006,C347,55.82568741883148,59.12537991489759,61.20777911389804
1999_2006,C348,55.85417031264675,53.86197844539894,61.590600069370474
1999_2006,C349,56.093645665914444,44.97890741904985,61.39411205310236
1999_2006,C35,55.09859960740978,59.400874822451314,62.22734317573823
1999_2006,C350,55.26695426006489,40.91297874428155,61.49102838127731
1999_2006,C351,55.68544969932578,57.378760653171305,61.351290456358825
1999_2006,C352,55.326292365908785,56.19749996508889,61.27654975863009
1999_2006,C353,55.56132225785782,57.98186177847277,61.21108665599482
1999_2006,C354,55.285662647987266,63.88792574099535,61.41307152425153
1999_2006,C355,55.03661840982851,37.517081748659706,60.99574017224102
