period,cluster,age_bucket,detail_ucod_age
1999_2006,C1037,0-44,50.46340820266439
1999_2006,C1037,45-64,50.172697953170065
1999_2006,C1037,65-79,47.37180211482787
1999_2006,C1037,80+,52.88658177595684
1999_2006,C1038,0-44,49.31320794610903
1999_2006,C1038,45-64,52.97872863392192
1999_2006,C1038,65-79,53.11061132572314
1999_2006,C1038,80+,55.18596381028599
1999_2006,C1039,0-44,53.333941541998236
1999_2006,C1039,45-64,47.75573719670139
1999_2006,C1039,65-79,47.87704572142694
1999_2006,C1039,80+,54.41341861212187
1999_2006,C104,0-44,65.72133932710537
1999_2006,C104,45-64,59.04463335587932
1999_2006,C104,65-79,53.35088263602748
1999_2006,C104,80+,55.01557766781447
1999_2006,C1040,0-44,60.08017016434384
1999_2006,C1040,45-64,52.94040934371797
1999_2006,C1040,65-79,50.10085567309305
1999_2006,C1040,80+,57.01044170754976
1999_2006,C1041,0-44,50.22936348909539
1999_2006,C1041,45-64,50.17852437923455
1999_2006,C1041,65-79,48.208337980556934
1999_2006,C1041,80+,52.60717406705931
1999_2006,C1042,0-44,53.066180344263614
1999_2006,C1042,45-64,44.81942875831281
1999_2006,C1042,65-79,45.41993223861717
1999_2006,C1042,80+,51.99828563426352
1999_2006,C1043,0-44,50.990342700309306
1999_2006,C1043,45-64,50.34194833441028
1999_2006,C1043,65-79,50.845245206502206
1999_2006,C1043,80+,53.59465985644808
1999_2006,C1044,0-44,49.968655471362624
1999_2006,C1044,45-64,50.09895007919863
1999_2006,C1044,65-79,52.050828887784206
1999_2006,C1044,80+,56.422048215982635
1999_2006,C1045,0-44,55.45344259482931
1999_2006,C1045,45-64,51.085456906456336
1999_2006,C1045,65-79,45.992566981588716
1999_2006,C1045,80+,50.93841175843562
1999_2006,C1046,0-44,53.87436241162818
1999_2006,C1046,45-64,48.11527179387242
1999_2006,C1046,65-79,47.65425999605513
1999_2006,C1046,80+,51.86011110337605
1999_2006,C1047,0-44,58.34635119054599
1999_2006,C1047,45-64,51.6104822605512
1999_2006,C1047,65-79,49.232651171551794
1999_2006,C1047,80+,57.45420118245663
1999_2006,C1048,0-44,51.03731046262167
1999_2006,C1048,45-64,43.62306747977306
1999_2006,C1048,65-79,49.087706894329386
1999_2006,C1048,80+,50.36212079800893
1999_2006,C1049,0-44,53.857805745481336
1999_2006,C1049,45-64,50.82218263780456
1999_2006,C1049,65-79,48.25921857448936
1999_2006,C1049,80+,55.77946779615465
1999_2006,C105,0-44,64.4759560721656
1999_2006,C105,45-64,57.46089297523607
1999_2006,C105,65-79,53.62292610125515
1999_2006,C105,80+,56.16636620924618
1999_2006,C1050,0-44,50.81895362158048
1999_2006,C1050,45-64,48.40550319775075
1999_2006,C1050,65-79,46.216619213024046
1999_2006,C1050,80+,51.12385155615855
1999_2006,C1051,0-44,49.67358248705954
1999_2006,C1051,45-64,51.99029839352459
1999_2006,C1051,65-79,49.32681383234694
1999_2006,C1051,80+,52.4778191355365
1999_2006,C1052,0-44,54.05425607122529
1999_2006,C1052,45-64,52.68946837961998
1999_2006,C1052,65-79,50.48340911777999
1999_2006,C1052,80+,55.64324109941115
1999_2006,C1053,0-44,49.96181454935051
1999_2006,C1053,45-64,51.98924477567088
1999_2006,C1053,65-79,50.61311053210034
1999_2006,C1053,80+,53.952665308170886
1999_2006,C1054,0-44,53.773808371182206
1999_2006,C1054,45-64,51.91446455691373
1999_2006,C1054,65-79,49.12796279891763
1999_2006,C1054,80+,54.310858566200515
1999_2006,C1055,0-44,53.12295963633327
1999_2006,C1055,45-64,46.308993806045684
1999_2006,C1055,65-79,45.157742814542594
1999_2006,C1055,80+,50.57950623131282
1999_2006,C1056,0-44,48.497609692068664
1999_2006,C1056,45-64,48.83875258273113
1999_2006,C1056,65-79,49.21434962519472
1999_2006,C1056,80+,52.5154873681072
1999_2006,C1057,0-44,53.544629185839796
1999_2006,C1057,45-64,50.12303892850018
1999_2006,C1057,65-79,46.886629310008225
1999_2006,C1057,80+,54.510673272703606
1999_2006,C1058,0-44,51.61245858294242
1999_2006,C1058,45-64,51.109966540131914
1999_2006,C1058,65-79,45.43308018912306
1999_2006,C1058,80+,49.02521043866802
1999_2006,C1059,0-44,54.013284670456265
1999_2006,C1059,45-64,47.89011244927233
1999_2006,C1059,65-79,49.465910662538136
1999_2006,C1059,80+,57.36275973750563
1999_2006,C106,0-44,67.295459691504945
1999_2006,C106,45-64,55.9564421637543
1999_2006,C106,65-79,51.91527606322564
1999_2006,C106,80+,56.78467989900249
1999_2006,C1060,0-44,53.409079654245936
1999_2006,C1060,45-64,50.756834421723156
1999_2006,C1060,65-79,47.260923408888544
1999_2006,C1060,80+,51.24685814760782
1999_2006,C1061,0-44,50.55135768975464
1999_2006,C1061,45-64,51.20014711001383
1999_2006,C1061,65-79,50.79121934652917
1999_2006,C1061,80+,53.315272043507996
1999_2006,C1062,0-44,54.298352682969345
1999_2006,C1062,45-64,54.67239312719009
1999_2006,C1062,65-79,51.90622820049766
1999_2006,C1062,80+,57.426267125324536
1999_2006,C1063,0-44,51.91312623425964
1999_2006,C1063,45-64,47.8862258620752
1999_2006,C1063,65-79,47.84702394335422
1999_2006,C1063,80+,49.614167075089284
1999_2006,C1064,0-44,57.20440993817338
1999_2006,C1064,45-64,48.211918697168954
1999_2006,C1064,65-79,52.123899740324944
1999_2006,C1064,80+,56.934417820287166
1999_2006,C1065,0-44,51.1001460559181
1999_2006,C1065,45-64,48.07892565379134
1999_2006,C1065,65-79,44.893177245666145
1999_2006,C1065,80+,52.587382755263675
1999_2006,C1066,0-44,51.897800412741894
1999_2006,C1066,45-64,49.180291998718225
1999_2006,C1066,65-79,48.761722748370076
1999_2006,C1066,80+,54.741768089023836
1999_2006,C1067,0-44,57.99400997094878
1999_2006,C1067,45-64,48.42733488642008
1999_2006,C1067,65-79,45.96357084601422
1999_2006,C1067,80+,53.90924988511853
