cluster,deaths,S_raw,I_raw,S_rare,I_rare,S_resid,I_resid,period
C1729,662,0.8914166537362748,0.6288030977960218,0.895648308019975,0.6198849890938039,-0.004951075978621034,-0.013386243992634064,2018_2022
C173,7934,0.896903232866002,0.64436580802255,0.8986466227603105,0.6494063678291918,-5.093146041725309e-4,-8.185806424722987e-4,2018_2022
C1730,599,0.9000643810914685,0.6537466991950183,NA,NA,0.0037386776049556873,0.011677828678417306,2018_2022
C1731,550,0.8898644628099174,0.6109030647382949,NA,NA,-0.006425381033690748,-0.031063011476690685,2018_2022
C1732,523,0.9006138288810328,0.6625790335496642,NA,NA,0.0043451330363722665,0.020673579627771662,2018_2022
C1733,571,0.8978441361669238,0.654628682736788,NA,NA,0.0015385484059336385,0.012617475425648362,2018_2022
C1734,591,0.8930918086010977,0.6445364253538342,NA,NA,-0.003228244957772082,0.0024837507700198676,2018_2022
C1735,624,0.8963161571334648,0.6338766607178363,0.8966667011300544,0.6342272202998864,-2.6728873045327962e-5,-0.008241464755034414,2018_2022
C1736,614,0.9027522838438603,0.6649661599156628,NA,NA,0.006416186908555837,0.02286749581431372,2018_2022
C1737,623,0.8962690239585293,0.636293827402538,0.8959429699858354,0.6327731161770032,-7.318804737328825e-5,-0.005822365998060567,2018_2022
C1738,584,0.8979405141677613,0.6399577486041954,NA,NA,0.0016254672830900642,-0.002080573980101699,2018_2022
C1739,535,0.8831583544414359,0.6258721088435321,NA,NA,-0.01311987192259577,-0.016060665012510075,2018_2022
C174,7832,0.8946653993307884,0.6367475772981089,0.9067472420673897,0.6336734110653844,-0.0027417024577024687,-0.008421200920178312,2018_2022
C1740,567,0.8938221836516959,0.6271277840521721,NA,NA,-0.002480450319702294,-0.014874956004035897,2018_2022
C1741,553,0.8965007570084595,0.6423228571725773,NA,NA,2.0862765721161002e-4,3.5022938198634454e-4,2018_2022
C1742,592,0.8926622991234476,0.6297260776575644,NA,NA,-0.003658464837767164,-0.01232863334677741,2018_2022
C1743,565,0.8904565745164069,0.6353250547845127,NA,NA,-0.005844574750490638,-0.006673429257137319,2018_2022
C1744,641,0.9015408354243688,0.651802498512803,0.8997787450501958,0.653234655907871,0.005186653513563995,0.009651992500165817,2018_2022
C1745,580,0.8943638525564803,0.6472227552241817,NA,NA,-0.0019483064040695841,0.00519271108660429,2018_2022
C1746,608,0.8979830332409973,0.638704409821299,NA,NA,0.0016510629396236938,-0.0033824249806319105,2018_2022
C1747,563,0.8974568490924981,0.6532157138060484,NA,NA,0.0011571897857032673,0.011221500844525894,2018_2022
C1748,549,0.8896984416110099,0.6256326530612167,NA,NA,-0.006590637630590563,-0.016331231365925236,2018_2022
C1749,586,0.8948036669035165,0.641210493133414,NA,NA,-0.0015128165466771729,-8.319474715225037e-4,2018_2022
C175,7829,0.8964409958350872,0.642765405981761,0.8916522782022517,0.6195182563295845,-9.659447148307189e-4,-0.002402910034307923,2018_2022
C1750,605,0.8976927805477768,0.6444536998472918,NA,NA,0.0013628888347730216,0.0023728234716729074,2018_2022
C1751,590,0.9064636598678542,0.6677448534853804,NA,NA,0.010144317912348265,0.025694218764902552,2018_2022
C1752,583,0.8915204669759833,0.6287624773576795,NA,NA,-0.004793859783123943,-0.013273780933768221,2018_2022
C1753,601,0.8812434074102785,0.6127481604886909,NA,NA,-0.015083696787308932,-0.029324725269140133,2018_2022
C1754,549,0.9048543302776036,0.665562466197945,NA,NA,0.008565251036003224,0.02359858177080304,2018_2022
C1755,561,0.8843197625833674,0.6100908756109047,NA,NA,-0.011978401470382526,-0.031899051097882415,2018_2022
C1756,623,0.899803931167215,0.646035713365448,0.900362899473744,0.646035713365448,0.0034617191613124784,0.003919519964849357,2018_2022
C1757,565,0.8995348108700759,0.6445970294618945,NA,NA,0.0032336616031783615,0.0025985454202444034,2018_2022
C1758,574,0.8915125836176231,0.635227660092524,NA,NA,-0.004795205961584959,-0.006789858892342889,2018_2022
C1759,584,0.9024441733908802,0.6527602530716744,NA,NA,0.00612912650620897,0.010721930487377294,2018_2022
C176,7778,0.8992783213210034,0.6478462762642617,0.8773844356447927,0.6620499999999943,0.0018741313193786423,0.002685844897005565,2018_2022
C1760,544,0.8845899113321799,0.6141274857161131,NA,NA,-0.011695323925722628,-0.027825379649274805,2018_2022
C1761,577,0.8967077064479213,0.6376188320507044,NA,NA,3.9772650840440407e-4,-0.004404965762951537,2018_2022
C1762,579,0.9029802440632261,0.6574511657214827,NA,NA,0.006668810190348157,0.015423200101001726,2018_2022
C1763,576,0.8895821277006173,0.6194869957299496,NA,NA,-0.006727123384536547,-0.02253471276911302,2018_2022
C1764,590,0.897575409365125,0.6376189069952656,NA,NA,0.0012560674096191425,-0.0044317277252122434,2018_2022
C1765,540,0.8989574759945131,0.6451460248783093,NA,NA,0.0026753414010151784,0.0032020477952966176,2018_2022
C1766,561,0.8997620114323479,0.6490131717375834,NA,NA,0.0034638473785979624,0.007023245028796337,2018_2022
C1767,604,0.8946701899039515,0.6260387811634381,NA,NA,-0.0016590066589528712,-0.016040102513336228,2018_2022
C1768,556,0.9044627607266704,0.6574767561983512,NA,NA,0.00816835821081839,0.01549761221437383,2018_2022
C1769,621,0.9013771875915684,0.6601146998632946,NA,NA,0.005036326833341552,0.01800237991345805,2018_2022
C177,7706,0.8946186040599614,0.6368647457355274,0.8895586273921898,0.6345474468551382,-0.0027816719580374383,-0.008284465910036929,2018_2022
C1770,653,0.9011113742908804,0.6431327160493814,0.9033457056895606,0.6436281179138394,0.004749397466761531,9.598653449021103e-4,2018_2022
C1771,544,0.9104468533737023,0.6727312107429106,NA,NA,0.014161618115799818,0.030778345377522755,2018_2022
C1772,535,0.8955681718927416,0.6215473707009609,NA,NA,-7.100544712900119e-4,-0.020385403155081246,2018_2022
C1773,561,0.8914244680208819,0.6239921766902761,NA,NA,-0.004873696032868012,-0.017997750018511033,2018_2022
C1774,479,0.9018266133777311,0.6523022432113406,NA,NA,0.005594833977431966,0.010502612990100762,2018_2022
C1775,568,0.8976517556040469,0.6342500737665681,NA,NA,0.0013483812396882437,-0.007754788680470591,2018_2022
C1776,503,0.89870320818627,0.6487876270717109,NA,NA,0.00245089235747528,0.006929127669021168,2018_2022
C1777,541,0.8945985561071609,0.6400869490358168,NA,NA,-0.0016843557964185626,-0.0018592562636669185,2018_2022
C1778,593,0.8971389084001378,0.6513605442176945,NA,NA,8.174352335496334e-4,0.00930380022403244,2018_2022
C1779,587,0.8885419175839964,0.6186431791968092,NA,NA,-0.007775282314522655,-0.02340131515990171,2018_2022
C178,7730,0.8950598548354975,0.639052485730153,0.8900393916522781,0.6218264233877409,-0.002341729891801212,-0.006100477426793049,2018_2022
C1780,583,0.8973282453977622,0.6441551246537439,NA,NA,0.0010139186386549878,0.0021188663622961567,2018_2022
C1781,578,0.9012823122328516,0.6477331385439493,NA,NA,0.004971604698876088,0.005707255027308843,2018_2022
C1782,611,0.9025691027292867,0.6525118743933898,NA,NA,0.006235064053778002,0.010419110445001281,2018_2022
C1783,568,0.891186024598294,0.6381734404536832,NA,NA,-0.005117349766064629,-0.0038314219933554623,2018_2022
C1784,590,0.8997357081298478,0.6426880934989027,NA,NA,0.0034163661743419325,6.374587784248368e-4,2018_2022
C1785,535,0.8965813608175386,0.6387834433386981,NA,NA,3.031344535069475e-4,-0.003149330517344058,2018_2022
C1786,551,0.8942724167575206,0.6391869713420126,NA,NA,-0.0020181903016901425,-0.002781292686584433,2018_2022
C1787,535,0.8959804349724865,0.6377548773505876,NA,NA,-2.9779139154516635e-4,-0.004177896505454577,2018_2022
C1788,569,0.9036851257563449,0.6439665844803004,NA,NA,0.0073810122991018684,0.0019596033691947814,2018_2022
C1789,564,0.8976535385543986,0.6458391852106046,NA,NA,0.0013531336082776243,0.0038428348191588573,2018_2022
C179,8057,0.8970296332068293,0.6465342724375047,0.8842547120066997,0.6345220799868474,-3.8938876536642145e-4,0.001331324136645123,2018_2022
C1790,582,0.906206823254331,0.6532744831748898,NA,NA,0.009893217854936718,0.011240292714070054,2018_2022
C1791,546,0.886862831917777,0.616520316804413,NA,NA,-0.009423945148770672,-0.025436968268759706,2018_2022
C1792,556,0.900218673981678,0.6633333333333364,NA,NA,0.003924271465825952,0.021354189349359048,2018_2022
C1793,538,0.8980044499108635,0.6508559694425868,NA,NA,0.0017238742572568142,0.008916461175334891,2018_2022
C1794,555,0.8981024267510754,0.6439238417260467,NA,NA,0.0018087805935392265,0.0019468658987643415,2018_2022
C1795,571,0.905996485104634,0.6700479008171382,NA,NA,0.009690897343643859,0.028036693505998547,2018_2022
