stable_fips,DQ_prop_garbage,prop_light,pct_overd_miss,prop_all_comp,n_cert,iso_score,lof_score,km_cluster,iso_rank,lof_rank,anomaly_flag
19161,0.20119083844279134,0.29520925833924894,0.05555555555555555,0.7924570447101621,28.95,0.586039645834315,1.2138122635977626,2,1665,1361,FALSE
19163,0.21445125603725612,0.3051013782475217,0.18291666666666667,0.7865915184464813,301.3,0.582403116851201,0.9920941066538732,2,3521,4060,FALSE
19165,0.21374279150828396,0.3006683673463403,0.037037037037037035,0.7915793280933312,30.25,0.5865950177526321,1.0735640300617009,2,1553,2925,FALSE
19167,0.21963936969216577,0.3070123053925271,0,0.7840130194313136,52,0.585801790289407,1.0375062546903038,2,1714,3442,FALSE
19169,0.23276215345549667,0.3092145791361094,0.35119047619047616,0.7846873766622949,101.15,0.589140570758489,1.1005436719009256,2,1196,2581,FALSE
19171,0.22754123618197436,0.29040966303992183,0.16666666666666669,0.7880380765524233,44.2,0.5829550425417899,1.2941731130720011,2,2922,884,FALSE
19173,0.2277910034136229,0.27849405400806415,0.33333333333333337,0.7899339940102323,17.1,0.5984611536389891,1.5071005919539753,2,710,352,FALSE
19175,0.2143486432255244,0.30625741396341444,0.10000000000000002,0.784580971377003,32.05,0.5829550425417899,1.0588121672705746,2,2923,3128,FALSE
19177,0.2714722883845599,0.29808361824042456,0.1111111111111111,0.7896182104932105,17.4,0.5861982698493219,1.2370538301978202,2,1632,1211,FALSE
19179,0.2419986890139916,0.307806891821343,0.16354166666666664,0.787580046215411,86.75,0.5828761640030672,1.1228785137444879,2,2981,2284,FALSE
19181,0.2174397924968898,0.30483257535529185,0.15196078431372548,0.7854944209051294,83.8,0.5822455197965881,0.998721707930504,2,3826,3984,FALSE
19183,0.1938663299887771,0.29158519930613974,0.11111111111111109,0.78700198878832,47.25,0.585960349923784,1.3322949587205537,2,1677,746,FALSE
19185,0.21241208477731496,0.30201903602253793,0,0.7951704106487429,19.75,0.5846139598556878,1.1130275372586111,2,2067,2407,FALSE
19187,0.20740232713922924,0.3054243172958954,0.30128205128205127,0.7827329301663195,94,0.5900979984992786,1.1897450772520566,2,1097,1582,FALSE
19189,0.22854135725424185,0.2969335179734259,0,0.7853272580712904,25.5,0.585960349923784,1.0419583097826677,2,1678,3379,FALSE
19191,0.22016890744037612,0.3100910513037965,0.1,0.785057617955287,35.85,0.5820092041712446,1.0518184052346142,2,4345,3235,FALSE
