cluster,domain_code,incidence,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C9,F03,1016,0.05740112994350283,0.16403470910001522,0.0374399919805076,4.381269878086958,3,NA,1999_2006,mcod_root3
C9,I48,737,0.041638418079096046,0.1323573730755138,0.03020981970033456,4.381269878086958,4,NA,1999_2006,mcod_root3
C9,N18,570,0.03220338983050847,0.11064065694395453,0.02525310241611155,4.381269878086958,5,NA,1999_2006,mcod_root3
C9,I21,496,0.0280225988700565,0.10017361694639258,0.022864059903594088,4.381269878086958,6,NA,1999_2006,mcod_root3
C9,G30,442,0.02497175141242938,0.09214601334045347,0.02103180491147653,4.381269878086958,7,NA,1999_2006,mcod_root3
C9,E11,401,0.02265536723163842,0.085803997457254,0.01958427575676291,4.381269878086958,8,NA,1999_2006,mcod_root3
C9,S09,293,0.01655367231638418,0.0678890486834261,0.015495290309089391,4.381269878086958,9,NA,1999_2006,mcod_root3
C9,T14,264,0.014915254237288136,0.06272417487399547,0.014316437156202623,4.381269878086958,10,NA,1999_2006,mcod_root3
C90,I25,720,0.13785180930499713,0.27316383913974007,0.06330312032089493,4.315171791769874,1,NA,1999_2006,mcod_root3
C90,J44,363,0.06950028719126938,0.1853172611687221,0.04294551181535092,4.315171791769874,2,NA,1999_2006,mcod_root3
C90,F03,314,0.060118705724679304,0.16901978789083022,0.03916872746832323,4.315171791769874,3,NA,1999_2006,mcod_root3
C90,I48,214,0.04097262109898526,0.13090142823486345,0.03033516034854641,4.315171791769874,4,NA,1999_2006,mcod_root3
C90,N18,165,0.03159103963239517,0.10914330643277684,0.025292922669021146,4.315171791769874,5,NA,1999_2006,mcod_root3
C90,I21,155,0.02967643116982577,0.10438394165903563,0.024189985172345226,4.315171791769874,6,NA,1999_2006,mcod_root3
C90,E11,132,0.02527283170591614,0.09295411456484597,0.021541231508356868,4.315171791769874,7,NA,1999_2006,mcod_root3
C90,G30,115,0.022017997319548153,0.08401836808508532,0.019470457293341053,4.315171791769874,8,NA,1999_2006,mcod_root3
C90,T14,84,0.016082711085583,0.06642176451958849,0.015392611864554645,4.315171791769874,9,NA,1999_2006,mcod_root3
C90,S09,75,0.014359563469270534,0.06093249734204463,0.014120526431475646,4.315171791769874,10,NA,1999_2006,mcod_root3
C91,I25,798,0.1424745581146224,0.27762476060319563,0.06441483548016003,4.309950627580271,1,NA,1999_2006,mcod_root3
C91,J44,378,0.06748794858061061,0.18193443267829182,0.04221264891390066,4.309950627580271,2,NA,1999_2006,mcod_root3
C91,F03,349,0.0623103017318336,0.17295024995404112,0.040128127883251485,4.309950627580271,3,NA,1999_2006,mcod_root3
C91,I48,231,0.04124263524370648,0.13149318134439153,0.03050920827327796,4.309950627580271,4,NA,1999_2006,mcod_root3
C91,N18,194,0.03463667202285306,0.11647766487956111,0.027025289833761967,4.309950627580271,5,NA,1999_2006,mcod_root3
C91,E11,150,0.02678093197643278,0.09694871821407543,0.022494159815585914,4.309950627580271,6,NA,1999_2006,mcod_root3
C91,I21,141,0.025174076057846814,0.09268945124054002,0.02150591949879911,4.309950627580271,7,NA,1999_2006,mcod_root3
C91,G30,119,0.021246206034636672,0.08183139720633781,0.018986620561888032,4.309950627580271,8,NA,1999_2006,mcod_root3
C91,S09,97,0.01731833601142653,0.07024298821809062,0.016297863777972564,4.309950627580271,9,NA,1999_2006,mcod_root3
C91,T14,80,0.01428316372076415,0.06068450344632673,0.014080092485977441,4.309950627580271,10,NA,1999_2006,mcod_root3
C92,I25,804,0.1364562118126273,0.2717868657088353,0.0633131808551069,4.2927375001237635,1,NA,1999_2006,mcod_root3
C92,J44,487,0.08265444670739987,0.20606469802129437,0.048003097793739624,4.2927375001237635,2,NA,1999_2006,mcod_root3
C92,F03,345,0.05855397148676171,0.1661648327206637,0.03870836097382452,4.2927375001237635,3,NA,1999_2006,mcod_root3
C92,I48,255,0.043279022403258656,0.13589990568026888,0.03165809828258792,4.2927375001237635,4,NA,1999_2006,mcod_root3
C92,N18,208,0.035302104548540394,0.11804362545133913,0.02749844952036686,4.2927375001237635,5,NA,1999_2006,mcod_root3
C92,I21,166,0.028173794976238967,0.10056250105422815,0.023426193903384226,4.2927375001237635,6,NA,1999_2006,mcod_root3
C92,G30,149,0.025288526816021725,0.09299614159435203,0.021663598482709663,4.2927375001237635,7,NA,1999_2006,mcod_root3
C92,E11,122,0.020706042090970808,0.08028415264894946,0.018702320523124184,4.2927375001237635,8,NA,1999_2006,mcod_root3
C92,S09,96,0.016293279022403257,0.06707947187152236,0.0156262692208849,4.2927375001237635,9,NA,1999_2006,mcod_root3
C92,T14,95,0.016123557365919892,0.06654956197696676,0.01550282587161411,4.2927375001237635,10,NA,1999_2006,mcod_root3
C93,I25,685,0.1419394944053046,0.2771161975605232,0.064036505995281,4.327472170029772,1,NA,1999_2006,mcod_root3
C93,J44,328,0.06796518856195607,0.18274205578091035,0.04222836071517778,4.327472170029772,2,NA,1999_2006,mcod_root3
C93,F03,270,0.055946953999171156,0.16131472182767978,0.03727689410572685,4.327472170029772,3,NA,1999_2006,mcod_root3
C93,I48,197,0.040820555325321174,0.13056738394883066,0.030171744339128215,4.327472170029772,4,NA,1999_2006,mcod_root3
C93,N18,150,0.03108164111065064,0.10788866407238047,0.024931105234961736,4.327472170029772,5,NA,1999_2006,mcod_root3
C93,I21,137,0.02838789888106092,0.10111180022562967,0.023365095430511816,4.327472170029772,6,NA,1999_2006,mcod_root3
C93,E11,123,0.025486945710733528,0.09352661284085056,0.021612296778839163,4.327472170029772,7,NA,1999_2006,mcod_root3
C93,G30,103,0.02134272689598011,0.0821064149542893,0.018973297049238894,4.327472170029772,8,NA,1999_2006,mcod_root3
C93,S09,97,0.020099461251554082,0.07852984665667523,0.018146817257552683,4.327472170029772,9,NA,1999_2006,mcod_root3
C93,T14,78,0.016162453377538334,0.06667116135943639,0.015406491073743337,4.327472170029772,10,NA,1999_2006,mcod_root3
C94,I25,599,0.12677248677248676,0.26183098070806854,0.06070331620840058,4.3132895706912695,1,NA,1999_2006,mcod_root3
C94,J44,391,0.08275132275132276,0.20620928559947274,0.04780789284370365,4.3132895706912695,2,NA,1999_2006,mcod_root3
C94,F03,277,0.05862433862433863,0.16629411162880842,0.03855389463271238,4.3132895706912695,3,NA,1999_2006,mcod_root3
C94,I48,208,0.04402116402116402,0.13748182648192958,0.0318740080462291,4.3132895706912695,4,NA,1999_2006,mcod_root3
C94,N18,180,0.0380952380952381,0.1244825138681003,0.028860226476320278,4.3132895706912695,5,NA,1999_2006,mcod_root3
C94,I21,110,0.02328042328042328,0.08753770839257079,0.020294883280591234,4.3132895706912695,6,NA,1999_2006,mcod_root3
C94,E11,109,0.02306878306878307,0.08695258632574777,0.020159227638364266,4.3132895706912695,7,NA,1999_2006,mcod_root3
C94,G30,104,0.02201058201058201,0.08399748610408315,0.01947411244421072,4.3132895706912695,8,NA,1999_2006,mcod_root3
C94,S09,102,0.02158730158730159,0.08280133390849616,0.019196794592955185,4.3132895706912695,9,NA,1999_2006,mcod_root3
C94,T14,81,0.017142857142857144,0.06970583460437836,0.01616071294587508,4.3132895706912695,10,NA,1999_2006,mcod_root3
C95,I25,656,0.13072937425269032,0.2659853757107164,0.06113941242145171,4.350473208299779,1,NA,1999_2006,mcod_root3
C95,J44,382,0.07612594659226783,0.19605218357874865,0.045064565207463575,4.350473208299779,2,NA,1999_2006,mcod_root3
C95,F03,290,0.05779194898365883,0.16475940277885529,0.03787160497035801,4.350473208299779,3,NA,1999_2006,mcod_root3
C95,I48,214,0.04264647269828617,0.1345415488934967,0.030925727490246347,4.350473208299779,4,NA,1999_2006,mcod_root3
C95,N18,151,0.030091669988043045,0.10542637313806855,0.024233311662955975,4.350473208299779,5,NA,1999_2006,mcod_root3
C95,I21,128,0.025508170585890794,0.09358326569646554,0.021511054364828298,4.350473208299779,6,NA,1999_2006,mcod_root3
C95,E11,125,0.024910322837783976,0.09198069424133286,0.021142687206038464,4.350473208299779,7,NA,1999_2006,mcod_root3
C95,G30,113,0.022518931845356714,0.08542329147632224,0.019635402262299363,4.350473208299779,8,NA,1999_2006,mcod_root3
C95,E78,76,0.01514547628537266,0.06346035420180207,0.014587000347624987,4.350473208299779,9,NA,1999_2006,mcod_root3
C95,S09,75,0.014946193702670387,0.062823315265893645,0.014440570544381264,4.350473208299779,10,NA,1999_2006,mcod_root3
C96,I25,645,0.13431903373594337,0.26965049181395245,0.06220188797419688,4.3350853261208275,1,NA,1999_2006,mcod_root3
C96,J44,344,0.07163681799250313,0.18884511975766,0.04356203062942815,4.3350853261208275,2,NA,1999_2006,mcod_root3
C96,F03,280,0.05830903790087463,0.16571417921935563,0.03822627855116337,4.3350853261208275,3,NA,1999_2006,mcod_root3
C96,I48,189,0.03935860058309038,0.1273266772106152,0.02937120440131017,4.3350853261208275,4,NA,1999_2006,mcod_root3
C96,N18,175,0.03644314868804665,0.12069977415662116,0.027842537130549898,4.3350853261208275,5,NA,1999_2006,mcod_root3
C96,I21,138,0.028738025822573926,0.10200660238319681,0.023530471653824533,4.3350853261208275,6,NA,1999_2006,mcod_root3
C96,G30,112,0.023323615160349854,0.08765688409297036,0.02022033650982564,4.3350853261208275,7,NA,1999_2006,mcod_root3
C96,E11,86,0.01790920449812578,0.07203870914730975,0.01661759890012875,4.3350853261208275,8,NA,1999_2006,mcod_root3
C96,S09,86,0.01790920449812578,0.07203870914730975,0.01661759890012875,4.3350853261208275,9,NA,1999_2006,mcod_root3
C96,T14,79,0.016451478550603915,0.06757181466489379,0.01558719369552968,4.3350853261208275,10,NA,1999_2006,mcod_root3
C97,I25,622,0.13161235717308506,0.2668959574766765,0.06125687081310295,4.356996267259329,1,NA,1999_2006,mcod_root3
C97,J44,355,0.07511637748624629,0.19445501845881513,0.04463052216042698,4.356996267259329,2,NA,1999_2006,mcod_root3
C97,F03,253,0.05353364367329665,0.15671679584466594,0.03596899933615163,4.356996267259329,3,NA,1999_2006,mcod_root3
C97,I48,195,0.041261108760050784,0.13153360248427967,0.030189055582326204,4.356996267259329,4,NA,1999_2006,mcod_root3
C97,N18,179,0.03787558188743123,0.12398377246957079,0.02845624941229523,4.356996267259329,5,NA,1999_2006,mcod_root3
C97,I21,117,0.02475666525603047,0.0915665004623454,0.02101596945363996,4.356996267259329,6,NA,1999_2006,mcod_root3
C97,G30,113,0.023910283537875582,0.08926776771284382,0.020488373695347624,4.356996267259329,7,NA,1999_2006,mcod_root3
C97,E11,95,0.020101565806178587,0.07853596461783743,0.018025254051282153,4.356996267259329,8,NA,1999_2006,mcod_root3
C97,T14,86,0.01819720694033009,0.07290687598147011,0.016733288602822364,4.356996267259329,9,NA,1999_2006,mcod_root3
C97,S09,72,0.01523487092678798,0.0637452645765166,0.01463055294665518,4.356996267259329,10,NA,1999_2006,mcod_root3
C98,I25,781,0.1399641577060932,0.27522116760275245,0.06378421778908804,4.314878776326959,1,NA,1999_2006,mcod_root3
C98,J44,413,0.07401433691756272,0.19269606433281644,0.044658511703739905,4.314878776326959,2,NA,1999_2006,mcod_root3
C98,F03,333,0.05967741935483871,0.168218803096148,0.038985754134985055,4.314878776326959,3,NA,1999_2006,mcod_root3
C98,I48,242,0.043369175627240145,0.13609274761127568,0.03154034091477412,4.314878776326959,4,NA,1999_2006,mcod_root3
C98,N18,210,0.03763440860215054,0.12343470791723234,0.028606761467886738,4.314878776326959,5,NA,1999_2006,mcod_root3
C98,I21,153,0.027419354838709678,0.09861387786727364,0.022854379689252524,4.314878776326959,6,NA,1999_2006,mcod_root3
C98,G30,136,0.024372759856630826,0.09052747796970348,0.020980306206137497,4.314878776326959,7,NA,1999_2006,mcod_root3
C98,E11,118,0.02114695340501792,0.08154813850310819,0.01889928842277373,4.314878776326959,8,NA,1999_2006,mcod_root3
C98,S09,100,0.017921146953405017,0.07207480052665349,0.016703783411502273,4.314878776326959,9,NA,1999_2006,mcod_root3
