cluster,deaths_no_garbage,S,f1,f2,H_raw,detail_phillips_raw,detail_phillips_refsize,D1_mref,D1_eff_used,m_ref,m_max,eff_m_used,used_extrapolation,fallback_reason,period,unit,unit_id
C457,2913,255,104,45,4.020931122352257,59.20777498453339,58.806132251744444,NA,54.25280384585741,2000,5826,2000,FALSE,ok,2015_2022,cluster,C457
C458,2710,240,93,43,3.9788941601846637,58.588785272619056,58.27072223455076,NA,52.315557578614374,2000,5420,2000,FALSE,ok,2015_2022,cluster,C458
C459,3706,256,84,38,4.063812993619893,59.839205891373844,59.292057737447124,NA,56.07303013954616,2000,7412,2000,FALSE,ok,2015_2022,cluster,C459
C46,9501,378,121,58,4.089654098350517,60.2197133578503,59.09402088247532,NA,55.32394570483709,2000,19002,2000,FALSE,ok,2015_2022,cluster,C46
C460,4177,277,96,40,4.03841255514431,59.465187187743084,58.80635963901456,NA,54.25364164436443,2000,8354,2000,FALSE,ok,2015_2022,cluster,C460
C461,2818,229,96,30,4.016857136987389,59.147785991577884,58.81401274687353,NA,54.28184673414963,2000,5636,2000,FALSE,ok,2015_2022,cluster,C461
C462,2870,244,96,42,4.033740617260201,59.396393408748374,59.026941616037625,NA,55.07249057199987,2000,5740,2000,FALSE,ok,2015_2022,cluster,C462
C463,5190,277,85,50,4.0232978860404085,59.24262532332946,58.50381263062163,NA,53.1502856871166,2000,10380,2000,FALSE,ok,2015_2022,cluster,C463
C464,2242,220,84,37,4.077563220616793,60.041676493641326,59.91788523603844,NA,58.5075778742976,2000,4484,2000,FALSE,ok,2015_2022,cluster,C464
C465,2726,232,89,38,4.0421214925742674,59.519800889421255,59.20956707311334,NA,55.75978033972629,2000,5452,2000,FALSE,ok,2015_2022,cluster,C465
C466,2932,236,84,38,4.040563456551743,59.49685897785091,59.12866135915571,NA,55.45424913268034,2000,5864,2000,FALSE,ok,2015_2022,cluster,C466
C467,2787,233,97,36,3.997709553696191,58.865839902847156,58.53326372984248,NA,53.2566973895845,2000,5574,2000,FALSE,ok,2015_2022,cluster,C467
C47,9473,366,106,60,4.117474520995348,60.62936606609319,59.531247728347694,NA,56.9913141423943,2000,18946,2000,FALSE,ok,2015_2022,cluster,C47
C470,2418,235,103,40,4.068982594617285,59.91532770577448,59.70076270140922,NA,57.65119701518825,2000,4836,2000,FALSE,ok,2015_2022,cluster,C470
C471,2859,239,89,33,4.046294789394798,59.58125223279793,59.22607306374861,NA,55.822319778195336,2000,5718,2000,FALSE,ok,2015_2022,cluster,C471
C472,2851,237,108,29,3.97792126154064,58.574459445529435,58.21538430944913,NA,52.11931835695669,2000,5702,2000,FALSE,ok,2015_2022,cluster,C472
C473,2600,239,97,44,4.028059478441113,59.3127392553642,59.02896602910198,NA,55.080062589271996,2000,5200,2000,FALSE,ok,2015_2022,cluster,C473
C474,2929,241,82,44,4.085608281359953,60.16013914115349,59.785688044117265,NA,57.984659146729584,2000,5858,2000,FALSE,ok,2015_2022,cluster,C474
C475,2289,217,95,20,4.044493130779796,59.554723004957395,59.410025750808664,NA,56.52406178526349,2000,4578,2000,FALSE,ok,2015_2022,cluster,C475
C476,2598,231,93,38,4.016479946349124,59.14223190030968,58.87038468524492,NA,54.490054562979374,2000,5196,2000,FALSE,ok,2015_2022,cluster,C476
C477,6429,323,108,43,4.0857603137868965,60.16237780216283,59.24058706609448,NA,55.87736973938924,2000,12858,2000,FALSE,ok,2015_2022,cluster,C477
C48,9413,353,98,57,4.067407138764634,59.892129289093496,58.82739690622733,NA,54.33120853514434,2000,18826,2000,FALSE,ok,2015_2022,cluster,C48
C480,2829,235,94,36,4.014967700692601,59.11996424691592,58.775407561499186,NA,54.139718956479406,2000,5658,2000,FALSE,ok,2015_2022,cluster,C480
C482,2829,234,96,32,4.027726823118767,59.30784094179614,58.964705441790144,NA,54.84021259875054,2000,5658,2000,FALSE,ok,2015_2022,cluster,C482
C484,2346,219,82,36,4.080269473242017,60.081525770241676,59.915701479168966,NA,58.49890162358156,2000,4692,2000,FALSE,ok,2015_2022,cluster,C484
C485,2875,251,103,41,4.054380484644078,59.700313219008706,59.31609052011671,NA,56.16462274987678,2000,5750,2000,FALSE,ok,2015_2022,cluster,C485
C486,4700,278,100,42,4.051504196305789,59.65796018496211,58.94962261687502,NA,54.78406808746177,2000,9400,2000,FALSE,ok,2015_2022,cluster,C486
C487,2943,250,95,30,4.1251830394812465,60.74287316534194,60.349825876702646,NA,60.249262260482986,2000,5886,2000,FALSE,ok,2015_2022,cluster,C487
C488,2760,243,92,39,4.067927083520886,59.899785419277244,59.564719454959466,NA,57.12101067916967,2000,5520,2000,FALSE,ok,2015_2022,cluster,C488
C49,12140,403,122,55,4.11552875811642,60.600714918584494,59.397963346063705,NA,56.47777710362933,2000,24280,2000,FALSE,ok,2015_2022,cluster,C49
C490,2528,232,94,27,4.052910294145294,59.67866482325467,59.430486334928574,NA,56.602657894887855,2000,5056,2000,FALSE,ok,2015_2022,cluster,C490
C491,2276,223,95,35,4.0513082055531076,59.65507424237053,59.51150943476196,NA,56.91497010532973,2000,4552,2000,FALSE,ok,2015_2022,cluster,C491
C492,2865,246,95,41,4.0406240670317075,59.497751460599375,59.126983270943335,NA,55.44792977754456,2000,5730,2000,FALSE,ok,2015_2022,cluster,C492
C494,2881,240,94,36,4.061902182842121,59.81106940976654,59.44606471482251,NA,56.66257306023018,2000,5762,2000,FALSE,ok,2015_2022,cluster,C494
C495,2760,230,99,26,3.9753158710199696,58.53609535248711,58.215032072819135,NA,52.118071616813836,2000,5520,2000,FALSE,ok,2015_2022,cluster,C495
C496,2993,247,91,46,4.029609716724578,59.335566346072014,58.931761997206465,NA,54.717657804452244,2000,5986,2000,FALSE,ok,2015_2022,cluster,C496
C497,2946,259,98,45,4.102273754993653,60.40553643419082,59.99290780358516,NA,58.80643165853041,2000,5892,2000,FALSE,ok,2015_2022,cluster,C497
