cluster,domain_code,n,p,contr_nats,contr_frac,H_cluster,rank,domain_label,period,family
C504,G30,105,0.040983606557377046,0.1309255382089818,0.03321229527353857,3.942080399161539,6,NA,2007_2014,ucod_root3
C504,C18,61,0.023809523809523808,0.08899213376865163,0.022574915972687876,3.942080399161539,7,NA,2007_2014,ucod_root3
C504,C50,60,0.0234192037470726,0.08792034942001356,0.02230303304790886,3.942080399161539,8,NA,2007_2014,ucod_root3
C504,C25,54,0.02107728337236534,0.08134902792279074,0.020636065144712237,3.942080399161539,9,NA,2007_2014,ucod_root3
C504,I11,52,0.02029664324746292,0.07910210293579747,0.020066080578321564,3.942080399161539,10,NA,2007_2014,ucod_root3
C505,I25,444,0.15617305663032008,0.2899806555937869,0.07416524841882426,3.909926303438167,1,NA,2007_2014,ucod_root3
C505,C34,258,0.0907492085824833,0.21776683992127355,0.05569589373840161,3.909926303438167,2,NA,2007_2014,ucod_root3
C505,J44,207,0.07281041153710868,0.19075572912621372,0.04878755104884559,3.909926303438167,3,NA,2007_2014,ucod_root3
C505,I21,178,0.06260991909954274,0.17348153989514134,0.044369516566742324,3.909926303438167,4,NA,2007_2014,ucod_root3
C505,F03,154,0.05416813225466057,0.15793599241032538,0.040393598281237536,3.909926303438167,5,NA,2007_2014,ucod_root3
C505,G30,126,0.044319380935631376,0.138113958421435,0.035323928816761954,3.909926303438167,6,NA,2007_2014,ucod_root3
C505,C18,60,0.021104467112205417,0.08142674392041292,0.020825646726080456,3.909926303438167,7,NA,2007_2014,ucod_root3
C505,C50,60,0.021104467112205417,0.08142674392041292,0.020825646726080456,3.909926303438167,8,NA,2007_2014,ucod_root3
C505,I11,58,0.0204009848751319,0.07940414416604491,0.020308348036182016,3.909926303438167,9,NA,2007_2014,ucod_root3
C505,C25,51,0.017938797045374603,0.07212812642464311,0.018447438858685838,3.909926303438167,10,NA,2007_2014,ucod_root3
C507,I25,395,0.14213745951781218,0.2773045925197358,0.07095791690021575,3.9080148436388593,1,NA,2007_2014,ucod_root3
C507,C34,267,0.09607772580064772,0.22507146633622954,0.05759227519378083,3.9080148436388593,2,NA,2007_2014,ucod_root3
C507,J44,197,0.07088880892407341,0.18761734872180263,0.04800835110111992,3.9080148436388593,3,NA,2007_2014,ucod_root3
C507,I21,185,0.06657070888808925,0.18037271027811197,0.0461545612017589,3.9080148436388593,4,NA,2007_2014,ucod_root3
C507,F03,160,0.05757466714645556,0.1643568255924391,0.042056346295604646,3.9080148436388593,5,NA,2007_2014,ucod_root3
C507,G30,132,0.04749910039582584,0.14473187295595882,0.037034627233195214,3.9080148436388593,6,NA,2007_2014,ucod_root3
C507,C50,68,0.024469233537243614,0.09078914475369378,0.023231525054586928,3.9080148436388593,7,NA,2007_2014,ucod_root3
C507,C18,58,0.02087081684059014,0.0807576100443947,0.02066461190029644,3.9080148436388593,8,NA,2007_2014,ucod_root3
C507,C25,57,0.020510975170924792,0.07972195906036464,0.02039960497850447,3.9080148436388593,9,NA,2007_2014,ucod_root3
C507,I11,55,0.019791291831594098,0.07763160433539108,0.019864715831812495,3.9080148436388593,10,NA,2007_2014,ucod_root3
C509,I25,390,0.13864201919658728,0.2739372296668341,0.06877162240480772,3.98328874741922,1,NA,2007_2014,ucod_root3
C509,C34,229,0.08140774973338073,0.20419382166024042,0.051262621067211855,3.98328874741922,2,NA,2007_2014,ucod_root3
C509,I21,204,0.07252044081052257,0.19028542843501978,0.047770935149581126,3.98328874741922,3,NA,2007_2014,ucod_root3
C509,J44,201,0.0714539637397796,0.18854570991346856,0.047334180841302975,3.98328874741922,4,NA,2007_2014,ucod_root3
C509,F03,174,0.061855670103092786,0.17214133047063884,0.04321588049125726,3.98328874741922,5,NA,2007_2014,ucod_root3
C509,G30,141,0.050124422324920016,0.15003477264619555,0.03766605490084126,3.98328874741922,6,NA,2007_2014,ucod_root3
C509,C18,64,0.022751510842516885,0.08607178045088228,0.0216082202191966,3.98328874741922,7,NA,2007_2014,ucod_root3
C509,C50,58,0.020618556701030927,0.08003224325656572,0.020092001441878587,3.98328874741922,8,NA,2007_2014,ucod_root3
C509,C25,57,0.0202630643441166,0.0790047869951484,0.01983405974430946,3.98328874741922,9,NA,2007_2014,ucod_root3
C509,I11,48,0.017063633131887666,0.06946273668110002,0.017438539128278124,3.98328874741922,10,NA,2007_2014,ucod_root3
C51,I25,1162,0.14486971699289367,0.27987676796855615,0.0705712910009117,3.965872864150104,1,NA,2007_2014,ucod_root3
C51,C34,732,0.09126044134147862,0.21848095236764853,0.055090256256731904,3.965872864150104,2,NA,2007_2014,ucod_root3
